"No.","Time","Source","Destination","Protocol","Length","Info"
"5862","830.273587839","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5871","860.366939129","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5947","880.839520394","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5950","891.691300684","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5955","915.236619044","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"5985","936.559855408","HonHaiPr_87:1b:89","Apple_68:48:f0","ARP","42","Who has 192.168.43.1? Tell 192.168.43.49"
"5986","936.942013841","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"6049","945.335815608","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"6095","975.436214690","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"6118","1005.336339964","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"6134","1035.434941292","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"6200","1065.332988500","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"6230","1078.030161094","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"6231","1087.859182201","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"6241","1097.893730244","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"6252","1107.929376472","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"6263","1117.962821601","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"6292","1127.999072040","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
